"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "Amount" "Class"
"542" -2.3122265423263 1.95199201064158 -1.60985073229769 3.9979055875468 -0.522187864667764 -1.42654531920595 -2.53738730624579 1.39165724829804 -2.77008927719433 -2.77227214465915 3.20203320709635 -2.89990738849473 -0.595221881324605 -4.28925378244217 0.389724120274487 -1.14074717980657 -2.83005567450437 -0.0168224681808257 0.416955705037907 0.126910559061474 0.517232370861764 -0.0350493686052974 -0.465211076182388 0.320198198514526 0.0445191674731724 0.177839798284401 0.261145002567677 -0.143275874698919 0 "'1'"
"624" -3.0435406239976 -3.15730712090228 1.08846277997285 2.2886436183814 1.35980512966107 -1.06482252298131 0.325574266158614 -0.0677936531906277 -0.270952836226548 -0.838586564582682 -0.414575448285725 -0.503140859566824 0.676501544635863 -1.69202893305906 2.00063483909015 0.666779695901966 0.599717413841732 1.72532100745514 0.283344830149495 2.10233879259444 0.661695924845707 0.435477208966341 1.37596574254306 -0.293803152734021 0.279798031841214 -0.145361714815161 -0.252773122530705 0.0357642251788156 529 "'1'"
"4921" -2.30334956758553 1.759247460267 -0.359744743330052 2.33024305053917 -0.821628328375422 -0.0757875706194599 0.562319782266954 -0.399146578487216 -0.238253367661746 -1.52541162656194 2.03291215755072 -6.56012429505962 0.0229373234890961 -1.47010153611197 -0.698826068579047 -2.28219382856251 -4.78183085597533 -2.61566494476124 -1.33444106667307 -0.430021867171611 -0.294166317554753 -0.932391057274991 0.172726295799422 -0.0873295379700724 -0.156114264651172 -0.542627889040196 0.0395659889264757 -0.153028796529788 239.93 "'1'"
"6109" -4.39797444171999 1.35836702839758 -2.5928442182573 2.67978696694832 -1.12813094208956 -1.70653638774951 -3.49619729302467 -0.248777743025673 -0.24776789948008 -4.80163740602813 4.89584422347523 -10.9128193194019 0.184371685834387 -6.77109672468083 -0.00732618257771211 -7.35808322132346 -12.5984185405511 -5.13154862842983 0.308333945758691 -0.17160787864796 0.573574068424352 0.176967718048195 -0.436206883597401 -0.0535018648884285 0.252405261951833 -0.657487754764504 -0.827135714578603 0.849573379985768 59 "'1'"
"6330" 1.23423504613468 3.0197404207034 -4.30459688479665 4.73279513041887 3.62420083055386 -1.35774566315358 1.71344498787235 -0.496358487073991 -1.28285782036322 -2.44746925511151 2.10134386504854 -4.6096283906446 1.46437762476188 -6.07933719308005 -0.339237372732577 2.58185095378146 6.73938438478335 3.04249317830411 -2.72185312222835 0.00906083639534526 -0.37906830709218 -0.704181032215427 -0.656804756348389 -1.63265295692929 1.48890144838237 0.566797273468934 -0.0100162234965625 0.146792734916988 1 "'1'"
"6332" 0.00843036489558254 4.13783683497998 -6.24069657194744 6.6757321631344 0.768307024571449 -3.35305954788994 -1.63173467271809 0.15461244822474 -2.79589246446281 -6.18789062970647 5.66439470857116 -9.85448482287037 -0.306166658250084 -10.6911962118171 -0.638498192673322 -2.04197379107768 -1.12905587703585 0.116452521226364 -1.93466573889727 0.488378221134715 0.36451420978479 -0.608057133838703 -0.539527941820093 0.128939982991813 1.48848121006868 0.50796267782385 0.735821636119662 0.513573740679437 1 "'1'"
"6335" 0.0267792264491516 4.13246389713003 -6.56059996809658 6.34855667313983 1.32966566904142 -2.51347884762413 -1.68910220031328 0.303252800547589 -3.13940905736457 -6.04546779778801 6.75462544809695 -8.94817857893317 0.702724998099873 -10.7338541032306 -1.37951985681718 -1.63896011485587 -1.74635013628103 0.776744097926754 -1.32735663549015 0.587743219006407 0.370508651493253 -0.57675247317433 -0.669605371766238 -0.759907529538618 1.60505555017462 0.540675396428899 0.737040381683977 0.496699108168337 1 "'1'"
"6337" 0.329594333318222 3.71288929524103 -5.77593510831666 6.07826550560828 1.66735901311948 -2.42016841351562 -0.812891249491333 0.133080117970748 -2.21431131204961 -5.13445447110633 4.56072010550223 -8.87374836164535 -0.797483599628474 -9.17716637009146 -0.25702477514424 -0.871688490451564 1.31301362907797 0.773913872552923 -2.37059945059811 0.269772775978284 0.156617169389793 -0.652450440932299 -0.551572219392364 -0.716521635357197 1.41571661508922 0.555264739787582 0.530507388890912 0.404474054528712 1 "'1'"
"6339" 0.316459000444982 3.80907594667829 -5.61515901119457 6.04744510216478 1.55402595692572 -2.6513531120137 -0.746579273100222 0.0555863112529252 -2.6786785422399 -4.95949291161496 6.43905335158373 -7.52011739288703 0.38635166741077 -9.25230724747513 -1.36518841502051 -0.502362190618164 0.784426598154274 1.49430460743838 -1.80801215867357 0.388307428238927 0.208828369001674 -0.511746619200722 -0.583813220813723 -0.219845029091423 1.47475258440688 0.491191925656006 0.518868284577287 0.40252806767232 1 "'1'"
"6428" 0.725645739819857 2.30089443776603 -5.32997618300917 4.007682804682 -1.73041059025206 -1.73219256822244 -3.96859261813707 1.06372815344105 -0.486096552344833 -4.62498495406596 5.5887239146762 -7.14824263637845 1.68045074096412 -6.21025774661028 0.495282117814298 -3.5995402092184 -4.83032424210571 -0.649090120211694 2.2501232487881 0.504646226103286 0.589669127323198 0.109541319229913 0.601045276521079 -0.364700278220039 -1.84307769215194 0.351909298434892 0.594549978086464 0.0993722360416487 1 "'1'"
