# obs    x1      x2     x3       x4       x5     y
1	1.29	0.40	-0.02	0.23	0.37	1.12
2	-0.54	-1.43	0.74	-0.27	0.45	-0.95
3	0.50	-0.85	-0.02	-0.39	1.55	-0.92
4	0.54	-1.39	1.29	1.03	-0.28	-3.14
5	0.34	0.24	0.65	1.95	-1.05	-1.28
6	0.56	-0.20	-0.80	-1.53	0.76	1.02
7	0.18	0.06	1.90	0.28	-0.59	-0.17
8	-1.09	-0.73	-0.37	-2.37	-0.91	2.25
9	0.27	-0.83	-0.91	0.98	0.66	-1.10
10	-0.16	1.34	1.15	-0.21	-0.93	1.26
11	0.29	0.09	0.60	1.37	-0.27	-0.78
12	0.21	0.76	0.21	-0.01	-0.48	0.36
13	0.56	1.18	0.06	-0.97	0.39	1.63
14	-1.20	-0.08	-0.36	-0.37	-0.77	0.18
15	2.22	-0.60	-0.69	0.39	-0.40	-1.59
16	-0.67	-2.18	0.27	0.61	-1.05	-1.87
17	-0.16	-1.62	0.55	-0.94	-0.98	-1.06
18	0.50	0.03	1.21	-1.40	1.14	1.08
19	1.75	-0.98	-2.18	-0.48	-0.78	-0.53
20	-0.77	-0.43	0.60	1.09	1.02	-0.54
