#     x1       x2          y
    0.2520   -1.7357   -0.3162
   -1.0354   -0.6652    0.6325
    1.4260    1.4761    2.0475
    1.0879    1.3885    1.6114
   -2.4398   -0.3261    0.6926
    0.1241   -0.5641    0.1406
    1.2676   -0.5696   -0.6771
   -0.9362    0.0684   -0.1780
   -1.7150   -0.6475    1.2147
    0.4825   -1.7114   -0.9858
   -0.8522   -0.9125    0.7602
    0.9045   -0.3685   -0.3274
   -0.8750    0.2696   -0.3119
   -0.1268   -0.9438    0.3072
    0.6171    0.4749    0.3258
    1.8235    0.7913    1.6743
    0.1361    0.3188   -0.0146
    0.8589   -1.2720   -1.2921
    1.3830   -0.0328    0.0185
    0.5546   -0.3562   -0.1319
   -1.9195   -0.0057    0.1221
   -1.5671    1.7508   -2.7686
   -1.2355   -1.1940    1.5276
   -0.4240    1.0393   -0.5722
   -0.0698    0.9668   -0.1570
    1.9110   -0.6356   -1.4105
    1.3802    0.0888    0.2462
    0.1946   -0.8579   -0.3129
    0.1001    0.1109    0.0005
    1.1118    0.4189    0.5509
    0.6059   -0.9209   -0.2809
    0.4473   -1.7449   -0.9088
    0.0113    0.2387    0.1587
   -0.4762    0.6302   -0.0452
   -1.0211   -0.3383    0.1003
    0.5939    0.2385    0.3265
   -0.2871   -1.2382    0.2432
    0.4177   -1.5291   -0.5001
    0.4351    0.6703    0.2241
    1.0973    1.0229    1.3102
    0.9328    0.1467    0.4270
   -0.5059   -0.3531    0.3073
    0.0253    0.7126   -0.1905
    1.0636    1.3569    1.2258
   -0.0722    0.0464    0.2077
    0.9858    0.1114   -0.2242
   -1.8905    0.0256   -0.1646
   -0.4167   -0.4630    0.0845
   -0.0901    0.6148    0.2283
   -1.3751   -0.3647    0.3865
   -0.0038    0.7283   -0.0350
    1.2077    1.0421    1.5244
   -0.3447    0.5987   -0.3776
   -2.5608   -0.8937    2.6917
   -0.9059    1.2302   -1.1154
    1.2118    0.5433    0.8679
   -0.1935    1.5794   -0.6320
   -1.2558   -0.7821    1.0716
    0.0381    1.1252    0.1537
   -0.9254    0.8656   -0.6822
   -1.0497    0.5000   -0.7824
   -1.3665    0.1978   -0.2937
   -1.1784   -0.4803    0.6599
   -0.4687   -0.2944    0.0128
    0.2843   -1.7229   -0.4004
    0.9066   -0.9717   -0.8524
    1.3920    0.7347    0.9902
   -0.0983   -0.2504    0.0855
    1.0669    0.3785    0.1699
    0.1002   -1.1011   -0.2642
   -0.0748   -0.5164   -0.1196
    0.1413   -0.0615   -0.0351
    0.8085    0.0729   -0.0521
   -0.1733    1.0000   -0.0944
   -0.5425    1.2422   -0.8902
    0.3905   -0.3171   -0.3439
   -0.9465   -0.2230    0.4846
    0.3189   -0.2419    0.0796
   -0.3686   -0.2889    0.0922
   -0.4254   -0.1266   -0.0019
   -1.1556    0.8686   -1.1067
    0.1241    0.7946    0.0359
   -1.0874   -1.3611    1.5119
   -0.1223   -0.9627    0.4374
    0.7615    0.5531    0.8415
   -0.9915    0.2688   -0.4720
    0.1522   -0.2104    0.0203
    1.6847   -0.9170   -1.2301
    0.0381   -0.1437   -0.1380
   -0.2558   -0.9250    0.1131
    0.2829    0.8500    0.0236
    0.3892    1.5702    0.3649
   -0.5121    0.1291    0.0396
   -0.7045   -1.1228    0.8493
   -1.0073    1.8769   -1.7859
    0.2009    1.3820    0.1025
   -0.8322   -0.5521    0.7540
    0.3754   -0.9714   -0.6187
   -1.2796    0.3935   -0.6512
   -0.1077   -0.1918   -0.0266
